1 500 71 999 6839 5175 1664 250 179 10.0 50 174 10.131.481,600 1.385.200,000
1 500 69 999 6799 5175 1624 250 181 10.0 50 145 10.093.205,600 1.349.500,000
1 500 68 999 6857 5175 1682 250 182 10.0 50 179 10.154.140,800 1.406.700,000
1 500 73 999 6827 5175 1652 250 177 10.0 50 172 10.124.658,800 1.379.150,000
1 500 69 999 6822 5175 1647 250 181 10.0 50 186 10.103.136,800 1.357.950,000
1 500 73 999 6866 5175 1691 250 177 10.0 50 198 10.143.470,400 1.395.450,000
1 500 73 999 6832 5175 1657 250 177 10.0 50 172 10.128.030,800 1.382.200,000
1 500 73 999 6815 5175 1640 250 177 10.0 50 162 10.103.136,000 1.358.400,000
2 500 131 999 5164 3698 1466 250 119 10.0 50 154 7.657.461,600 1.211.400,000
2 500 128 999 5153 3698 1455 250 122 10.0 50 155 7.652.303,200 1.206.950,000
2 500 132 999 5149 3698 1451 250 118 10.0 50 156 7.644.995,600 1.199.900,000
2 500 126 999 5161 3698 1463 250 124 10.0 50 169 7.648.018,400 1.202.150,000
2 500 126 999 5115 3698 1417 250 124 10.0 50 131 7.618.406,000 1.175.500,000
2 500 128 999 5133 3698 1435 250 122 10.0 50 145 7.624.315,200 1.180.250,000
2 500 134 999 5166 3698 1468 250 116 10.0 50 160 7.656.290,400 1.210.100,000
2 500 130 999 5158 3698 1460 250 120 10.0 50 154 7.647.775,200 1.202.100,000
2 500 127 999 5141 3698 1443 250 123 10.0 50 150 7.637.330,400 1.192.750,000
2 500 134 999 5154 3698 1456 250 116 10.0 50 147 7.635.667,600 1.190.250,000
3 500 140 999 4888 3569 1319 250 110 10.0 50 159 7.438.937,200 1.130.850,000
3 500 145 999 4880 3569 1311 250 105 10.0 50 153 7.435.772,000 1.128.200,000
3 500 137 999 4853 3569 1284 250 113 10.0 50 138 7.412.933,200 1.107.100,000
3 500 144 999 4870 3569 1301 250 106 10.0 50 152 7.427.828,000 1.120.900,000
3 500 144 999 4893 3569 1324 250 106 10.0 50 161 7.434.959,200 1.126.550,000
3 500 143 999 4849 3569 1280 250 107 10.0 50 127 7.407.725,600 1.102.150,000
3 500 141 999 4901 3569 1332 250 109 10.0 50 173 7.455.924,400 1.147.000,000
3 500 141 999 4860 3569 1291 250 109 10.0 50 151 7.412.834,000 1.106.550,000
3 500 141 999 4882 3569 1313 250 109 10.0 50 160 7.431.300,800 1.123.600,000
3 500 141 999 4875 3569 1306 250 109 10.0 50 147 7.434.100,000 1.126.850,000
4 500 142 999 4757 3482 1275 250 108 10.0 50 101 7.076.500,800 1.060.500,000
4 500 146 999 4774 3482 1292 250 104 10.0 50 110 7.091.195,600 1.074.100,000
4 500 138 999 4771 3482 1289 250 112 10.0 50 102 7.094.452,400 1.077.550,000
4 500 143 999 4775 3482 1293 250 107 10.0 50 104 7.094.560,000 1.077.400,000
4 500 141 999 4788 3482 1306 250 109 10.0 50 131 7.093.647,200 1.075.650,000
4 500 146 999 4763 3482 1281 250 104 10.0 50 105 7.084.387,200 1.068.000,000
4 500 142 999 4767 3482 1285 250 108 10.0 50 104 7.083.844,800 1.067.200,000
4 500 141 999 4749 3482 1267 250 109 10.0 50 93 7.070.335,600 1.054.850,000
4 500 146 999 4779 3482 1297 250 104 10.0 50 98 7.100.467,600 1.083.050,000
4 500 143 999 4786 3482 1304 250 107 10.0 50 118 7.102.918,400 1.085.050,000
5 500 178 999 4230 3030 1200 250 72 10.0 50 83 6.447.562,000 1.059.300,000
5 500 179 999 4237 3030 1207 250 71 10.0 50 105 6.457.662,800 1.068.950,000
5 500 175 999 4225 3030 1195 250 75 10.0 50 89 6.444.090,000 1.056.150,000
5 500 173 999 4220 3030 1190 250 77 10.0 50 84 6.448.418,000 1.060.800,000
5 500 176 999 4236 3030 1206 250 74 10.0 50 95 6.445.248,400 1.056.600,000
5 500 175 999 4230 3030 1200 250 75 10.0 50 100 6.445.662,000 1.057.400,000
5 500 172 999 4241 3030 1211 250 78 10.0 50 109 6.460.820,400 1.071.850,000
5 500 176 999 4232 3030 1202 250 74 10.0 50 92 6.450.290,800 1.061.900,000
5 500 177 999 4231 3030 1201 250 73 10.0 50 86 6.456.026,400 1.067.700,000
5 500 175 999 4226 3030 1196 250 75 10.0 50 91 6.445.604,400 1.057.600,000
6 500 154 999 4501 3250 1251 250 96 10.0 50 118 6.653.514,400 1.052.700,000
6 500 156 999 4532 3250 1282 250 94 10.0 50 150 6.680.110,800 1.077.300,000
6 500 151 999 4522 3250 1272 250 99 10.0 50 139 6.682.466,800 1.080.300,000
6 500 152 999 4538 3250 1288 250 98 10.0 50 152 6.692.697,200 1.089.500,000
6 500 151 999 4535 3250 1285 250 99 10.0 50 149 6.694.104,000 1.091.100,000
6 500 145 999 4506 3250 1256 250 105 10.0 50 128 6.668.136,400 1.067.000,000
6 500 148 999 4513 3250 1263 250 102 10.0 50 128 6.676.287,200 1.074.700,000
6 500 158 999 4516 3250 1266 250 92 10.0 50 121 6.668.280,400 1.066.500,000
6 500 155 999 4496 3250 1246 250 95 10.0 50 100 6.663.642,400 1.063.150,000
6 500 153 999 4507 3250 1257 250 97 10.0 50 123 6.667.000,800 1.065.800,000
7 500 157 999 5069 3654 1415 250 93 10.0 50 183 7.744.243,600 1.209.250,000
7 500 164 999 5083 3654 1429 250 86 10.0 50 176 7.763.645,200 1.227.750,000
7 500 159 999 5111 3654 1457 250 91 10.0 50 219 7.794.248,400 1.256.550,000
7 500 161 999 5051 3654 1397 250 89 10.0 50 165 7.742.384,400 1.208.550,000
7 500 156 999 5064 3654 1410 250 94 10.0 50 172 7.743.471,600 1.208.800,000
7 500 151 999 5064 3654 1410 250 99 10.0 50 191 7.740.071,600 1.205.400,000
7 500 158 999 5066 3654 1412 250 92 10.0 50 186 7.745.450,400 1.210.650,000
7 500 155 999 5061 3654 1407 250 95 10.0 50 178 7.740.028,400 1.205.550,000
7 500 158 999 5051 3654 1397 250 92 10.0 50 165 7.738.434,400 1.204.600,000
7 500 160 999 5053 3654 1399 250 90 10.0 50 159 7.738.063,200 1.204.100,000
8 500 149 999 4916 3598 1318 250 101 10.0 50 132 7.702.490,400 1.159.250,000
8 500 146 999 4918 3598 1320 250 104 10.0 50 123 7.712.519,200 1.169.150,000
8 500 150 999 4947 3598 1349 250 100 10.0 50 151 7.733.436,800 1.188.200,000
8 500 147 999 4954 3598 1356 250 103 10.0 50 152 7.729.737,600 1.184.050,000
8 500 148 999 4932 3598 1334 250 102 10.0 50 140 7.723.420,800 1.179.150,000
8 500 146 999 4934 3598 1336 250 104 10.0 50 134 7.724.899,600 1.180.500,000
8 500 148 999 4937 3598 1339 250 102 10.0 50 137 7.729.342,800 1.184.750,000
8 500 148 999 4909 3598 1311 250 102 10.0 50 119 7.698.939,600 1.156.150,000
8 500 151 999 4898 3598 1300 250 99 10.0 50 95 7.685.981,200 1.143.900,000
8 500 146 999 4917 3598 1319 250 104 10.0 50 132 7.701.204,800 1.157.900,000
9 500 169 999 4855 3516 1339 250 81 10.0 50 121 7.357.112,000 1.151.300,000
9 500 164 999 4845 3516 1329 250 86 10.0 50 132 7.343.818,000 1.138.650,000
9 500 161 999 4831 3516 1315 250 89 10.0 50 119 7.335.816,400 1.131.550,000
9 500 161 999 4835 3516 1319 250 89 10.0 50 133 7.328.424,000 1.123.900,000
9 500 165 999 4852 3516 1336 250 85 10.0 50 136 7.344.368,800 1.138.750,000
9 500 163 999 4852 3516 1336 250 87 10.0 50 133 7.346.268,800 1.140.650,000
9 500 163 999 4842 3516 1326 250 87 10.0 50 128 7.342.424,800 1.137.450,000
9 500 163 999 4871 3516 1355 250 87 10.0 50 148 7.372.992,400 1.166.150,000
9 500 160 999 4850 3516 1334 250 90 10.0 50 135 7.357.140,000 1.151.650,000
9 500 158 999 4820 3516 1304 250 92 10.0 50 124 7.324.358,000 1.120.800,000
