800 157 1599 9991 400 243 10.0 50 400 800 4486 11.775.520,400 418.056,000 5
800 151 1599 9265 400 249 10.0 50 400 800 3766 11.728.466,000 371.001,600 5
800 147 1599 10061 400 253 10.0 50 400 800 4572 11.779.228,400 421.764,000 5
800 144 1599 11629 400 256 10.0 50 400 800 6119 11.881.257,600 523.793,200 5
800 149 1599 10100 400 251 10.0 50 400 800 4597 11.782.440,000 424.975,600 5
800 149 1599 9762 400 251 10.0 50 400 800 4256 11.760.822,800 403.358,400 5
800 136 1599 10737 400 264 10.0 50 400 800 5255 11.822.412,800 464.948,400 5
800 151 1599 10606 400 249 10.0 50 400 800 5146 11.812.876,400 455.412,000 5
800 138 1599 11202 400 262 10.0 50 400 800 5741 11.851.308,800 493.844,400 5
800 135 1599 11318 400 265 10.0 50 400 800 5835 11.859.829,200 502.364,800 5
800 225 1599 8088 400 175 10.0 50 400 800 3654 9.750.967,200 348.230,400 6
800 220 1599 7873 400 180 10.0 50 400 800 3457 9.736.221,200 333.484,400 6
800 216 1599 7339 400 184 10.0 50 400 800 2918 9.702.081,600 299.344,800 6
800 220 1599 7042 400 180 10.0 50 400 800 2632 9.682.404,800 279.668,000 6
800 216 1599 7885 400 184 10.0 50 400 800 3483 9.736.294,000 333.557,200 6
800 225 1599 8085 400 175 10.0 50 400 800 3655 9.750.574,000 347.837,200 6
800 227 1599 7684 400 173 10.0 50 400 800 3240 9.725.449,600 322.712,800 6
800 216 1599 8116 400 184 10.0 50 400 800 3696 9.752.070,400 349.333,600 6
800 217 1599 7734 400 183 10.0 50 400 800 3303 9.728.019,600 325.282,800 6
800 218 1599 8110 400 182 10.0 50 400 800 3694 9.751.484,000 348.747,200 6
800 193 1599 8482 400 207 10.0 50 400 800 3584 10.778.340,800 350.472,000 7
800 184 1599 7495 400 216 10.0 50 400 800 2582 10.715.528,000 287.659,200 7
800 186 1599 8362 400 214 10.0 50 400 800 3454 10.771.112,800 343.244,000 7
800 184 1599 7893 400 216 10.0 50 400 800 2939 10.743.209,200 315.340,400 7
800 181 1599 8510 400 219 10.0 50 400 800 3603 10.780.594,000 352.725,200 7
