800 191 1599 8341 400 209 10.0 50 400 800 155 16.009.160,400 236.379,600 5
800 188 1599 8351 400 212 10.0 50 400 800 158 16.010.154,400 237.373,600 5
800 194 1599 8423 400 206 10.0 50 400 800 174 16.017.591,200 244.810,400 5
800 195 1599 8357 400 205 10.0 50 400 800 169 16.010.290,800 237.510,000 5
800 181 1599 8307 400 219 10.0 50 400 800 161 16.004.970,800 232.190,000 5
800 198 1599 8368 400 202 10.0 50 400 800 158 16.012.099,200 239.318,400 5
800 190 1599 8377 400 210 10.0 50 400 800 187 16.011.678,800 238.898,000 5
800 196 1599 8411 400 204 10.0 50 400 800 175 16.016.168,400 243.387,600 5
800 184 1599 8346 400 216 10.0 50 400 800 182 16.008.382,400 235.601,600 5
800 189 1599 8342 400 211 10.0 50 400 800 167 16.008.674,800 235.894,000 5
800 220 1599 6335 400 180 10.0 50 400 800 125 12.756.624,000 189.488,400 6
800 212 1599 6328 400 188 10.0 50 400 800 144 12.754.873,200 187.737,600 6
800 208 1599 6349 400 192 10.0 50 400 800 141 12.757.425,600 190.290,000 6
800 227 1599 6308 400 173 10.0 50 400 800 128 12.753.385,200 186.249,600 6
800 221 1599 6298 400 179 10.0 50 400 800 123 12.752.491,200 185.355,600 6
800 209 1599 6327 400 191 10.0 50 400 800 126 12.755.658,800 188.523,200 6
800 224 1599 6324 400 176 10.0 50 400 800 138 12.754.715,600 187.580,000 6
800 219 1599 6328 400 181 10.0 50 400 800 135 12.755.323,200 188.187,600 6
800 229 1599 6324 400 171 10.0 50 400 800 111 12.756.065,600 188.930,000 6
800 217 1599 6331 400 183 10.0 50 400 800 120 12.756.416,400 189.280,800 6
800 212 1599 7148 400 188 10.0 50 400 800 158 14.697.931,200 207.858,400 7
800 215 1599 7216 400 185 10.0 50 400 800 176 14.704.810,400 214.737,600 7
800 208 1599 7204 400 192 10.0 50 400 800 205 14.701.987,600 211.914,800 7
800 221 1599 7175 400 179 10.0 50 400 800 164 14.700.720,000 210.647,200 7
800 210 1599 7194 400 190 10.0 50 400 800 164 14.702.893,600 212.820,800 7
800 218 1599 7154 400 182 10.0 50 400 800 173 14.697.867,600 207.794,800 7
