500 120 999 4928 250 130 10.0 50 250 500 155 6.431.113,200 137.766,800 0
500 121 999 4988 250 129 10.0 50 250 500 176 6.436.927,200 143.580,800 0
500 110 999 4999 250 140 10.0 50 250 500 168 6.438.585,600 145.239,200 0
500 116 999 4932 250 134 10.0 50 250 500 158 6.431.420,800 138.074,400 0
500 109 999 4983 250 141 10.0 50 250 500 174 6.436.455,200 143.108,800 0
500 112 999 4958 250 138 10.0 50 250 500 190 6.432.795,200 139.448,800 0
500 117 999 4933 250 133 10.0 50 250 500 157 6.431.585,200 138.238,800 0
500 111 999 4970 250 139 10.0 50 250 500 199 6.433.718,000 140.371,600 0
500 113 999 4947 250 137 10.0 50 250 500 168 6.432.636,800 139.290,400 0
500 119 999 4931 250 131 10.0 50 250 500 149 6.431.756,400 138.410,000 0
500 143 999 4921 250 107 10.0 50 250 500 115 6.428.262,400 152.922,800 1
500 139 999 4896 250 111 10.0 50 250 500 117 6.425.302,400 149.962,800 1
500 139 999 4870 250 111 10.0 50 250 500 124 6.421.978,000 146.638,400 1
500 128 999 4843 250 122 10.0 50 250 500 92 6.420.489,200 145.149,600 1
500 139 999 4893 250 111 10.0 50 250 500 116 6.425.009,200 149.669,600 1
500 133 999 4895 250 117 10.0 50 250 500 135 6.424.288,000 148.948,400 1
500 143 999 4982 250 107 10.0 50 250 500 152 6.433.390,800 158.051,200 1
500 139 999 4877 250 111 10.0 50 250 500 119 6.423.028,800 147.689,200 1
500 137 999 4897 250 113 10.0 50 250 500 112 6.425.666,800 150.327,200 1
500 139 999 4858 250 111 10.0 50 250 500 124 6.420.605,200 145.265,600 1
500 160 999 4681 250 90 10.0 50 250 500 162 5.740.756,400 145.539,200 2
500 160 999 5149 250 90 10.0 50 250 500 155 5.766.895,600 171.678,400 2
500 156 999 5153 250 94 10.0 50 250 500 143 5.767.403,200 172.186,000 2
500 153 999 4610 250 97 10.0 50 250 500 151 5.733.184,000 137.966,800 2
500 157 999 5205 250 93 10.0 50 250 500 147 5.771.352,000 176.134,800 2
500 163 999 5168 250 87 10.0 50 250 500 142 5.770.169,200 174.952,000 2
500 160 999 5194 250 90 10.0 50 250 500 149 5.768.543,600 173.326,400 2
500 154 999 4646 250 96 10.0 50 250 500 144 5.737.652,400 142.435,200 2
500 160 999 5339 250 90 10.0 50 250 500 146 5.780.431,600 185.214,400 2
500 164 999 4638 250 86 10.0 50 250 500 154 5.736.237,200 141.020,000 2
500 114 999 5201 250 136 10.0 50 250 500 165 6.700.394,400 159.117,200 3
500 114 999 5149 250 136 10.0 50 250 500 159 6.694.745,600 153.468,400 3
500 109 999 5128 250 141 10.0 50 250 500 143 6.693.143,200 151.866,000 3
500 116 999 5142 250 134 10.0 50 250 500 159 6.693.944,800 152.667,600 3
500 118 999 5127 250 132 10.0 50 250 500 161 6.692.128,800 150.851,600 3
500 113 999 5142 250 137 10.0 50 250 500 146 6.694.594,800 153.317,600 3
500 114 999 5180 250 136 10.0 50 250 500 174 6.697.542,000 156.264,800 3
500 115 999 5088 250 135 10.0 50 250 500 132 6.689.117,200 147.840,000 3
500 101 999 5131 250 149 10.0 50 250 500 146 6.693.336,400 152.059,200 3
500 111 999 5149 250 139 10.0 50 250 500 134 6.695.995,600 154.718,400 3
500 148 999 5215 250 102 10.0 50 250 500 182 6.565.446,000 153.691,200 4
500 148 999 5250 250 102 10.0 50 250 500 208 6.568.150,000 156.395,200 4
500 149 999 5258 250 101 10.0 50 250 500 193 6.569.815,200 158.060,400 4
500 151 999 5217 250 99 10.0 50 250 500 194 6.565.074,800 153.320,000 4
500 153 999 5264 250 97 10.0 50 250 500 184 6.570.951,600 159.196,800 4
500 157 999 5297 250 93 10.0 50 250 500 207 6.573.576,800 161.822,000 4
500 147 999 5272 250 103 10.0 50 250 500 204 6.570.866,800 159.112,000 4
500 157 999 5282 250 93 10.0 50 250 500 198 6.572.310,800 160.556,000 4
500 159 999 5313 250 91 10.0 50 250 500 211 6.575.207,200 163.452,400 4
500 155 999 5213 250 95 10.0 50 250 500 180 6.565.317,200 153.562,400 4
500 185 999 4102 250 65 10.0 50 250 500 113 4.999.968,800 132.087,600 5
500 190 999 4084 250 60 10.0 50 250 500 126 4.997.259,600 129.378,400 5
500 195 999 4111 250 55 10.0 50 250 500 124 5.000.448,400 132.567,200 5
500 193 999 4087 250 57 10.0 50 250 500 117 4.998.052,800 130.171,600 5
500 189 999 4139 250 61 10.0 50 250 500 113 5.004.201,600 136.320,400 5
500 200 999 4108 250 50 10.0 50 250 500 129 4.999.855,200 131.974,000 5
500 191 999 4127 250 59 10.0 50 250 500 127 5.002.128,800 134.247,600 5
500 202 999 4107 250 48 10.0 50 250 500 113 5.000.540,800 132.659,600 5
500 194 999 4094 250 56 10.0 50 250 500 104 4.999.503,600 131.622,400 5
500 201 999 4128 250 49 10.0 50 250 500 130 5.002.093,200 134.212,000 5
500 113 999 5776 250 137 10.0 50 250 500 195 7.327.174,400 174.548,400 6
500 121 999 5802 250 129 10.0 50 250 500 181 7.330.848,800 178.222,800 6
500 120 999 5760 250 130 10.0 50 250 500 204 7.324.894,000 172.268,000 6
500 123 999 5773 250 127 10.0 50 250 500 176 7.327.781,200 175.155,200 6
500 112 999 5749 250 138 10.0 50 250 500 176 7.325.035,600 172.409,600 6
500 117 999 5725 250 133 10.0 50 250 500 165 7.322.840,000 170.214,000 6
500 114 999 5774 250 136 10.0 50 250 500 186 7.327.395,600 174.769,600 6
500 119 999 5746 250 131 10.0 50 250 500 184 7.324.292,400 171.666,400 6
500 115 999 5674 250 135 10.0 50 250 500 146 7.317.955,600 165.329,600 6
500 129 999 5867 250 121 10.0 50 250 500 201 7.337.284,800 184.658,800 6
500 159 999 4200 250 91 10.0 50 250 500 134 5.298.430,000 129.779,200 7
500 164 999 4239 250 86 10.0 50 250 500 145 5.302.341,600 133.690,800 7
500 157 999 4189 250 93 10.0 50 250 500 115 5.298.121,600 129.470,800 7
500 151 999 4211 250 99 10.0 50 250 500 140 5.299.388,400 130.737,600 7
500 150 999 4155 250 100 10.0 50 250 500 92 5.295.382,000 126.731,200 7
500 158 999 4209 250 92 10.0 50 250 500 137 5.299.309,600 130.658,800 7
500 141 999 4174 250 109 10.0 50 250 500 129 5.295.705,600 127.054,800 7
500 150 999 4151 250 100 10.0 50 250 500 120 5.293.524,400 124.873,600 7
500 152 999 4168 250 98 10.0 50 250 500 115 5.295.719,200 127.068,400 7
500 157 999 4215 250 93 10.0 50 250 500 145 5.299.596,000 130.945,200 7
500 145 999 4320 250 105 10.0 50 250 500 147 5.208.008,000 133.018,800 8
500 147 999 4295 250 103 10.0 50 250 500 124 5.206.298,000 131.308,800 8
500 157 999 4367 250 93 10.0 50 250 500 154 5.213.034,800 138.045,600 8
500 151 999 4310 250 99 10.0 50 250 500 126 5.207.914,000 132.924,800 8
500 154 999 4353 250 96 10.0 50 250 500 166 5.210.833,200 135.844,000 8
500 144 999 4335 250 106 10.0 50 250 500 143 5.209.924,000 134.934,800 8
500 155 999 4297 250 95 10.0 50 250 500 125 5.206.476,800 131.487,600 8
